source,target,km,days,expense,type
Abodiacum,Augusta Vindelicum,54.539,1.818,1.909,road
Abodiacum,Cambodunum,50.135,1.671,1.755,road
Abodiacum,Parthanum,65.681,2.189,2.299,road
Abodiacum,Maiensis Statio,225.368,7.512,7.888,road
Alba Fucens,Tibur,63.804,2.127,2.233,road
Aleria,Ilva,102.157,0.689,0.069,coastal
Alexandria,Paraetonium,279.307,2.565,0.256,coastal
Alexandria,Patara,637.908,4.617,0.462,overseas
Alexandria,Rhodos,733.082,5.376,0.538,overseas
Amorgos,Delos,120.214,0.987,0.099,coastal
Amorgos,Astypaleia,58.191,0.26,0.026,coastal
Amorgos,Samos,145.962,0.94,0.094,coastal
Amorgos,Anaphe,59.317,0.269,0.027,coastal
Amorgos,Kerea,37.028,0.153,0.015,coastal
Amorgos,Kinaros,55.058,0.156,0.016,coastal
Amphipolis,Thessalonica,96.883,3.229,3.391,road
Amphipolis,Athos Mons,137.758,0.873,0.087,coastal
Anaphe,Delos,135.61,1.237,0.124,coastal
Anaphe,Astypaleia,64.713,0.354,0.035,coastal
Anaphe,Amorgos,59.317,0.407,0.041,coastal
Anaphe,Thera,66.915,0.426,0.043,coastal
Andros,Geraistos,76.78,0.453,0.045,coastal
Andros,Delos,76.068,0.356,0.036,coastal
Andros,Tenos,52.785,0.202,0.02,coastal
Asculum,Reate,95.146,3.172,3.33,road
Astypaleia,Isthmia,373.929,3.021,0.302,coastal
Astypaleia,Kadiston Mons,173.506,0.954,0.095,coastal
Astypaleia,Rhodos,191.696,1.012,0.101,coastal
Astypaleia,Amorgos,58.191,0.534,0.053,coastal
Astypaleia,Anaphe,64.713,0.512,0.051,coastal
Astypaleia,Kinaros,51.15,0.241,0.024,coastal
Astypaleia,Nisyros,104.022,0.54,0.054,coastal
Athenae,Ephesus,368.001,2.23,0.223,coastal
Athenae,Sounion Pr.,69.101,0.379,0.038,coastal
Athenae,Myndos,374.068,1.907,0.191,coastal
Athos Mons,Thessalonica,207.348,1.67,0.167,coastal
Athos Mons,Hephaistia,133.217,0.863,0.086,coastal
Athos Mons,Tenedos,192.915,1.335,0.133,coastal
Athos Mons,Amphipolis,143.326,1.036,0.104,coastal
Athos Mons,Imbros,167.46,1.457,0.146,coastal
Aufidus,Skyllaion Pr.,1053.453,6.679,0.668,coastal
Augusta Vindelicum,Pons Aeni,126.177,4.206,4.416,road
Augusta Vindelicum,Summuntorium,32.01,1.067,1.12,road
Augusta Vindelicum,Abodiacum,54.539,1.818,1.909,road
Augustobriga,Toletum,149.43,4.981,5.23,road
Bargylia,Trogilion Pr.,89.361,0.797,0.08,coastal
Bargylia,Myndos,36.732,0.269,0.027,coastal
Bilbilis,Caesaraugusta,73.054,2.435,2.557,road
Bilbilis,Toletum,294.636,9.821,10.312,road
Boiodurum,Lauriacum,110.789,1.704,0.377,downstream
Boiodurum,Ovilava,70.022,2.334,2.451,road
Boiodurum,Pons Aeni,162.509,10.834,1.105,upstream
Boiodurum,Castra Regina,146.431,2.929,0.996,fastup
Brigantium,Cambodunum,58.819,1.961,2.059,road
Caesaraugusta,Bilbilis,73.054,2.435,2.557,road
Cambodunum,Brigantium,58.819,1.961,2.059,road
Cambodunum,Abodiacum,50.135,1.671,1.755,road
Camulodunum,Venta Icenorum,185.056,1.226,0.123,coastal
Caralis,Ostia/Portus,432.782,3.005,0.3,overseas
Caralis,Palma,639.279,3.994,0.399,overseas
Castra Regina,Summuntorium,125.35,8.357,0.852,upstream
Castra Regina,Boiodurum,146.431,1.22,0.498,fastdown
Caunus,Patara,102.676,0.553,0.055,coastal
Caunus,Cnidus,141.745,1.119,0.112,coastal
Caunus,Rhodos,67.445,0.407,0.041,coastal
Ceos,Sounion Pr.,31.671,0.125,0.012,coastal
Ceos,Delos,107.092,0.568,0.057,coastal
Ceos,Tenos,94.311,0.493,0.049,coastal
Cetium,Lauriacum,99.544,3.318,3.484,road
Cetium,Vindobona,65.987,2.2,2.31,road
Chalcis,Sounion Pr.,141.394,0.74,0.074,coastal
Chalcis,Geraistos,131.473,0.679,0.068,coastal
