SITE NAME,CHRONOLOGY,SITE TYPE,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,URL,LATITUDE,LONGITUDE
"Papa Stour, Tiptans",Neolithic / Bronze Age,Stone Circle,,416680,1159660,SHETLAND ISLANDS,http://canmore.org.uk/site/215,60.32069,-1.6998527
Ring Of Brodgar,Neolithic / Bronze Age,Stone Circle,"Henge (Neol/bronze Age), Rune Inscribed Stone (Norse), ",329450,1013350,ORKNEY ISLANDS,http://canmore.org.uk/site/1696,59.001404,-3.2297693
Stones Of Stenness,Neolithic / Bronze Age,Stone Circle,"Henge (Neol/bronze Age)",330670,1012520,ORKNEY ISLANDS,http://canmore.org.uk/site/2105,58.994152,-3.2082776
"St Kilda, Boreray, Taigh Stallair",Neolithic / Bronze Age,Stone Circle,,15250,905050,WESTERN ISLES,http://canmore.org.uk/site/3969,57.868448,-8.4929027
"Lewis, Loch Seaforth",Neolithic / Bronze Age,Stone Circle,"Blackhouse (Post Medieval), Flint Scatter (Prehistoric), , Scraper (Tool)(S), Unidentified Pottery(S)",127810,916620,WESTERN ISLES,http://canmore.org.uk/site/4135,58.054845,-6.6156655
"Lewis, Garynahine, Airidh Nam Bidearan, 'tursachan'",Neolithic / Bronze Age,Stone Circle,,123420,929890,WESTERN ISLES,http://canmore.org.uk/site/4143,58.170916,-6.7054585
"Lewis, Callanish",Neolithic / Bronze Age,Stone Circle,"Avenue, Chambered Cairn (Neolithic), Stone Row(S) (Neol/bronze Age)",121300,933017,WESTERN ISLES,http://canmore.org.uk/site/4156,58.197573,-6.7451084
"Lewis, Callanish, Cnoc Fillibhir Bheag, 'tursachan'",Neolithic / Bronze Age,Stone Circle,,122517,932712,WESTERN ISLES,http://canmore.org.uk/site/4167,58.19561,-6.7241132
"Lewis, Callanish, 'tursachan'",Neolithic / Bronze Age,Stone Circle,"Cairn (Period Unassigned)",122215,932617,WESTERN ISLES,http://canmore.org.uk/site/4169,58.401586,-6.4573869
"Lewis, Garynahine, 'tursachan'",Neolithic / Bronze Age,Stone Circle,"Cairn (Period Unassigned)",122970,930420,WESTERN ISLES,http://canmore.org.uk/site/4170,58.2291,-6.4115541
"Lewis, Druim Nan Eum",Neolithic / Bronze Age,Stone Circle,"Quarry (Period Unassigned)",122970,933620,WESTERN ISLES,http://canmore.org.uk/site/4172,57.981744,-4.5891008
"Lewis, South Shawbost, Cnoc Laoiran",Neolithic / Bronze Age,Stone Circle,,123300,946100,WESTERN ISLES,http://canmore.org.uk/site/4209,58.010596,-4.4008992
"Lewis, Achmore",Neolithic / Bronze Age,Stone Circle,,131740,929260,WESTERN ISLES,http://canmore.org.uk/site/4232,58.010859,-4.4012554
"Lewis, Glen Shader",Neolithic / Bronze Age,Stone Circle,"Standing Stone (Prehistoric),, Structure(S) (Period Unassigned)",139630,953670,WESTERN ISLES,http://canmore.org.uk/site/4268,57.974348,-3.945946
"Lewis, Clach Stei Lin",Neolithic / Bronze Age,Stone Circle,"Enclosure (Period Unassigned)",139694,954546,WESTERN ISLES,http://canmore.org.uk/site/4278,58.517959,-3.6154022
"Lewis, Laxdale, Priest's Glen",Neolithic / Bronze Age,Stone Circle,,141110,935190,WESTERN ISLES,http://canmore.org.uk/site/4300,58.446389,-3.3321564
Rosehall,Neolithic / Bronze Age,Stone Circle,,247000,902100,HIGHLAND,http://canmore.org.uk/site/4861,57.223247,-7.410248
Lairg,Neolithic / Bronze Age,Stone Circle,,258000,906000,HIGHLAND,http://canmore.org.uk/site/5023,57.483872,-7.3001618
Druim Baile Fuir,Neolithic / Bronze Age,Stone Circle,,256040,902950,HIGHLAND,http://canmore.org.uk/site/5074,57.475666,-7.2992875
Achinduich,Neolithic / Bronze Age,Stone Circle,,258450,900840,HIGHLAND,http://canmore.org.uk/site/5075,57.564457,-7.2821586
River Shin,Neolithic / Bronze Age,Stone Circle,,258240,904900,HIGHLAND,http://canmore.org.uk/site/5081,57.520782,-7.2936212
River Shin,Neolithic / Bronze Age,Stone Circle,,258220,904930,HIGHLAND,http://canmore.org.uk/site/5084,57.54578,-7.3026118
Clach An Righ,Neolithic / Bronze Age,Stone Circle,,267930,939030,HIGHLAND,http://canmore.org.uk/site/5540,57.557292,-7.3332369
Cnoc An Liath-bhaid,Neolithic / Bronze Age,Stone Circle,,272800,910160,HIGHLAND,http://canmore.org.uk/site/6096,57.450627,-6.2491688
Craggan Soiller,Neolithic / Bronze Age,Stone Circle,"Spearhead (Bronze)",272600,962600,HIGHLAND,http://canmore.org.uk/site/6419,57.620059,-6.2889096
Dunrobin Castle,Neolithic / Bronze Age,Stone Circle,,285000,900000,HIGHLAND,http://canmore.org.uk/site/6526,57.620059,-6.2889096
Learable Hill,Neolithic / Bronze Age,Stone Circle,,289160,923510,HIGHLAND,http://canmore.org.uk/site/6716,57.183903,-6.0672523
Backlass,Neolithic / Bronze Age,Stone Circle,,307880,942340,HIGHLAND,http://canmore.org.uk/site/7607,57.267606,-5.7830651
Shurrery Kirk,Neolithic / Bronze Age,Stone Circle,"Standing Stone(S) (Prehistoric)",304880,958580,HIGHLAND,http://canmore.org.uk/site/7695,57.392083,-5.8292018
Aultan Broubster,Neolithic / Bronze Age,Stone Circle,,304400,959900,HIGHLAND,http://canmore.org.uk/site/7705,57.281925,-5.6019252
Loch Calder,Neolithic / Bronze Age,Stone Circle(S),,306000,960000,HIGHLAND,http://canmore.org.uk/site/7915,57.334461,-4.6879399
Guidebest,Neolithic / Bronze Age,Stone Circle,"Cairn (Period Unassigned)",318020,935100,HIGHLAND,http://canmore.org.uk/site/8114,57.364712,-4.8248725
